name,desciption,prix
"Barnabe,""Legal intervention involving baton, bystander injured, init"",$2.96"
"Freddy,""Nondisp Rolando's fx, unsp hand, subs for fx w malunion"",$9.88"
"Karin,""Laceration of blood vessels at ank/ft level, left leg, subs"",$5.95"
Wylie,Intraductal carcinoma in situ of breast,$3.24
"Adrianna,""Malig neoplm of prph nerves of unsp upper limb, inc shoulder"",$9.12"
"Wilmer,""Post-traumatic osteoarthritis, wrist"",$6.40"
Halley,Malignant neoplasm of esophagus,$4.52
"Clayton,""Balloon collision injuring occupant, subsequent encounter"",$3.72"
"Amelina,""Unspecified sprain of left wrist, initial encounter"",$2.16"
"Obadias,""Contusion of lower back and pelvis, initial encounter"",$8.13"
"Agace,""Underdosing of beta-adrenoreceptor antagonists, subs encntr"",$5.71"
"Neron,""Disp fx of med malleolus of r tibia, 7thJ"",$8.44"
"Mirna,""Skeletal fluorosis, unspecified lower leg"",$1.65"
"Rufus,""Unsp fx low end l tibia, subs for opn fx type I/2 w nonunion"",$4.93"
Carlina,Accessory lobe of lung,$9.08
Kara,Open bite of scrotum and testes,$1.87
"Huberto,""Other physeal fracture of right calcaneus, 7thD"",$1.38"
"Eba,""Nondisp fx of sternal end unsp clavicle, 7thP"",$1.93"
"Ely,""Fracture of unspecified carpal bone, left wrist, sequela"",$6.82"
"Judye,""Retinal micro-aneurysms, unspecified, unspecified eye"",$1.76"
"Dorotea,""Struck by baseball, subsequent encounter"",$6.61"
Alane,Unsp non-institutional (private) residence as place,$2.23
"Wittie,""Iliac crest spur, left hip"",$6.25"
"Torey,""Displ longitud fx l patella, subs for clos fx w delay heal"",$4.31"
"Rooney,""Drug-induced chronic gout, right shoulder, without tophus"",$0.61"
"Mile,""Breakdown (mechanical) of bone devices, implants and grafts"",$3.06"
Eunice,Other complications of heart-lung transplant,$10.00
"Orsa,""Other juvenile arthritis, right hip"",$7.66"
"Misty,""Sprain of posterior cruciate ligament of right knee, subs"",$4.81"
Alberik,Fx tib/fib following insrt ortho implnt/prosth/bone plt,$8.44
"Gena,""Self-harm by oth larger firearm discharge, sequela"",$7.01"
"Meredith,""Displ pilon fx l tibia, 7thF"",$5.42"
"Hort,""Ophthalmia nodosa, right eye"",$2.21"
"Huntington,""Inj long flexor musc/fasc/tend r thm at wrs/hnd lv, sequela"",$3.10"
Waite,Adverse effect of penicillins,$6.80
"Rodina,""Unsp disp fx of seventh cervical vertebra, init for clos fx"",$2.33"
"Shannah,""Subluxation of unsp interphaln joint of right thumb, subs"",$4.18"
"Shayla,""Lacerat flexor musc/fasc/tend l mid fngr at forarm lv, sqla"",$4.53"
"Abra,""Poisoning by ganglionic blocking drugs, undetermined, subs"",$4.22"
"Dona,""Nondisp oblique fx shaft of l tibia, 7thK"",$2.40"
"Aurilia,""Corros 1st deg mult sites of unsp low limb, ex ank/ft, init"",$7.72"
Nancie,Unspecified fracture of shaft of unspecified tibia,$9.81
"Demetris,""Other hypertrophic osteoarthropathy, right ankle and foot"",$9.76"
Stanly,Other endophthalmitis,$0.49
"Ulrick,""Injury of trochlear nerve, left side, sequela"",$7.23"
"Avigdor,""Rheumatoid bursitis, unspecified site"",$1.49"
"Zita,""Poisoning by otorhino drugs and preparations, undetermined"",$3.69"
"Chiarra,""Unsp mtrcy rider injured in clsn w ped/anml nontraf, init"",$8.83"
"Leonhard,""Nondisp fx of med phalanx of r mid fngr, 7thK"",$8.49"
"Kareem,""Laceration of blood vessels at forarm lv, right arm, sequela"",$5.30"
Sara,Chronic pulmonary histoplasmosis capsulati,$2.79
"Anastasie,""Burn w resulting rupture and dest of unsp eyeball, init"",$3.23"
Dorree,Myopathy due to other toxic agents,$0.10
Jaquelyn,Corrosion of third degree of wrist and hand,$6.67
"Anabal,""Pnctr w fb of pharynx and cervical esophagus, sequela"",$4.00"
Lon,NIHSS score 10-19,$7.82
"Dianna,""Ped on sktbrd injured in collision w pedl cyc in traf, subs"",$8.89"
"Mill,""Unsp fx shaft of left ulna, init for opn fx type 3A/B/C"",$5.51"
"Alexandrina,""Exposure of other implanted mesh into organ or tissue, subs"",$0.14"
"Flory,""Complete lesion at C3 level of cervical spinal cord, subs"",$9.57"
"Ruddie,""Corrosion of unsp deg mult sites of right ank/ft, init"",$5.75"
"Elbertina,""Contusion of descending [left] colon, initial encounter"",$4.83"
Kerwin,Crushing injury of unspecified toe(s),$3.79
"Rosalinda,""Other superficial bite of right thumb, sequela"",$9.82"
"Georgie,""Insect bite (nonvenomous) of right wrist, subs encntr"",$7.50"
"Kiah,""War operations involving oth fire/hot subst, milt, sequela"",$1.46"
Chandra,Other fracture of upper end of right tibia,$2.61
"Hervey,""Sltr-haris Type I physl fx upr end rad, r arm, 7thP"",$1.04"
"Zacharie,""Lacerat musc/tend ant grp at low leg level, right leg, sqla"",$1.26"
"Lorrie,""Burn of unsp degree of female genital region, init encntr"",$2.61"
"Roscoe,""Displ transverse fx shaft of l fibula, 7thC"",$6.76"
"Virginia,""Type 1 fracture of sacrum, init encntr for closed fracture"",$3.76"
"Jacquelyn,""Sltr-haris Type III physeal fx lower end of l femur, sequela"",$3.79"
"Tara,""Poisn by local antifung/infect/inflamm drugs, slf-hrm, init"",$1.00"
"Hiram,""Assault by being hit or run over by motor vehicle, init"",$1.35"
"Pedro,""Contus/lac/hem brainstem w/o loss of consciousness, init"",$1.37"
"Maible,""War operations involving flamethrower, milt, sequela"",$1.79"
"Even,""Bent bone of r rad, subs for opn fx type 3A/B/C w delay heal"",$4.96"
"Conny,""Path fx in neopltc disease, oth site, subs for fx w nonunion"",$9.97"
"Robby,""Erosion of implanted urtl bulk agnt organ or tissue, sequela"",$2.62"
Lucinda,Other functional intestinal disorders,$8.98
Tracee,Acute embolism and thrombosis of deep veins of r up extrem,$5.52
Violetta,Disorders of purine and pyrimidine metabolism,$9.42
Teddie,Osteitis deformans of left forearm,$5.11
"Ware,""Unspecified aircraft accident injuring occupant, init encntr"",$0.82"
"Thomasa,""Oth nondisp fx of upper end l humer, subs for fx w malunion"",$6.70"
"Pen,""Kaschin-Beck disease, right ankle and foot"",$4.34"
Ruddie,Other specified injury of left renal vein,$3.37
"Cristionna,""Unspecified physeal fracture of right metatarsal, 7thG"",$2.31"
Falkner,Unspecified fracture of unspecified femur,$8.71
"Marney,""Complete placenta previa NOS or without hemor, third tri"",$0.96"
Auria,Vibratory urticaria,$9.80
Karisa,Age-related reticular degeneration of retina,$4.46
"Orelee,""Mech compl of surgically created arteriovenous shunt, init"",$1.58"
"Urbain,""Oth fx shaft of rad, unsp arm, subs for clos fx w nonunion"",$2.13"
"Ranna,""Sltr-haris Type III physeal fx unsp calcaneus, sequela"",$3.84"
Mandi,Trichomoniasis of other sites,$6.63
"Smitty,""Idiopathic gout, hand"",$7.77"
"Meredithe,""Personal history of comp of preg, chldbrth and the puerp"",$7.34"
"Corny,""Placenta accreta, first trimester"",$8.02"
"Dara,""Superficial foreign body, left foot"",$4.43"
"Osmond,""Mild laceration of heart with hemopericardium, init encntr"",$9.28"
"Dewie,""Oth malignant neoplasm skin/ unsp lower limb, including hip"",$0.01"
"Sarine,""Path fx in neopltc dis, r shldr, subs for fx w routn heal"",$8.83"
"Basilio,""Unsp athscl autologous vein bypass of the extrm, left leg"",$4.30"
Flemming,Other vascular disorders of intestine,$0.86
"Mollee,""Poisoning by antimycobacterial drugs, intentional self-harm"",$4.19"
"Bondy,""Chronic giant papillary conjunctivitis, unspecified eye"",$0.39"
Manon,Fracture of hook process of hamate [unciform] bone,$7.15
"Launce,""Poisn by antiparkns drug/centr musc-tone depr, acc, subs"",$5.38"
"Uriah,""Other infective bursitis, right elbow"",$2.19"
Lorelle,Unstable burst fracture of fifth lumbar vertebra,$8.41
"Jillian,""Nondisp fx of lateral condyle of l humer, 7thK"",$7.02"
Kylila,Corrosion of first degree of unspecified palm,$5.32
"Avrom,""Staphylococcal arthritis, unspecified joint"",$8.46"
"Agnes,""Prsn brd/alit mtrcy injured in collision w ped/anml, init"",$2.62"
"Jamison,""Poisoning by oth antidepressants, self-harm, init"",$9.30"
"Kameko,""Occup of pk-up/van inj in clsn w statnry obj in traf, init"",$3.18"
"Sterne,""Poisoning by insulin and oral hypoglycemic drugs, assault"",$0.40"
"Verney,""Unspecified open wound, left foot"",$7.37"
"Wilma,""Unsp inj flxr musc/fasc/tend r rng fngr at wrs/hnd lv, subs"",$5.82"
"Briana,""Poisn by cardi-stim glycos/drug simlar act, assault, subs"",$5.04"
Arel,Unspecified subluxation of unspecified radial head,$8.81
"Dani,""Person inj wh brd/alit from special industr vehicle, subs"",$9.45"
"Cinderella,""Unsp fx shaft of unsp femr, 7thN"",$6.94"
Mavis,Undue concern and preoccupation with stressful events,$5.37
"Ashly,""Nondisp fx of lateral condyle of unspecified tibia, sequela"",$2.49"
"Vassily,""Contusion of unspecified shoulder, sequela"",$2.40"
Hilary,Inj unsp blood vessel at shoulder and upper arm level,$5.64
"Farlie,""Displ oblique fx shaft of l femr, 7thM"",$2.57"
"Fran,""Inj flexor musc/fasc/tend r mid finger at forarm lv, init"",$6.18"
"Lezley,""Driver injured in collision w unsp mv nontraf, init"",$5.85"
Cathi,Laceration of unsp musc/fasc/tend at wrist and hand level,$5.65
"Ripley,""Assault by oth gas, air or spring-operated gun, init encntr"",$3.97"
"Pavla,""Complete traumatic amputation of scrotum and testis, sequela"",$1.34"
Mitzi,Drowning and submersion due to merchant ship sinking,$3.87
"Grange,""Inj flexor musc/fasc/tend l little finger at forarm lv, sqla"",$2.39"
"Delbert,""Displ commnt fx shaft of unsp fibula, 7thC"",$2.53"
"Anetta,""Unsp daycare provider, perpetrator of maltreat and neglect"",$0.09"
"Husein,""Other placental disorders, first trimester"",$0.97"
Joane,Driver of special construction vehicle injured nontraf,$8.74
"Dirk,""Spondylolisthesis, cervical region"",$9.15"
"Emelita,""Disp fx of coronoid pro of r ulna, 7thF"",$0.08"
Linette,Corrosion of unsp deg mult sites of unsp wrist and hand,$1.89
Junia,Mastitis without abscess,$0.80
Ninon,Other histiocytosis syndromes,$9.16
"Matthew,""Nondisplaced apophyseal fracture of left femur, sequela"",$1.73"
"Dorena,""Displacement of electronic bone stimulator, subs encntr"",$5.06"
Matilde,Minor laceration of pancreas,$9.96
"Mile,""Unsp physl fx upper end of l fibula, subs for fx w malunion"",$2.61"
"Leonard,""Oth fx second metacarpal bone, right hand, init for opn fx"",$1.32"
"Verla,""Lac w/o fb of abd wall, unsp q w/o penet perit cav, subs"",$1.42"
Odille,Encounter for oth general cnsl and advice on contraception,$1.11
"Bessy,""Poisn by unsp hormones and synthetic sub, self-harm, sequela"",$5.96"
"Brnaba,""Subluxation of MCP joint of left index finger, subs"",$3.04"
Lauritz,Cerebral atherosclerosis,$4.60
"Deirdre,""Zygomatic fracture, left side, sequela"",$5.95"
"Becka,""Excessive weight gain in pregnancy, unspecified trimester"",$5.28"
Kirsti,Sprain of metacarpophalangeal joint of right middle finger,$2.16
Adrianna,Abn histolog findings in specmn from male genital organs,$8.28
"Dorrie,""Pnctr of abd wall w fb, left low q w/o penet perit cav, sqla"",$2.56"
Caresse,Corrosion of unspecified degree of unspecified lower leg,$1.63
"Pierrette,""Chronic atticoantral suppurative otitis media, bilateral"",$3.53"
"Eugen,""Nondisp fx of mid 3rd of navic bone of l wrs, 7thK"",$9.65"
"Konstance,""Newborn light for gestational age, 1750-1999 grams"",$0.16"
"Nevile,""Partial traumatic amputation of right breast, init encntr"",$3.53"
"Jenda,""Complete traumatic transmetcrpl amp of unsp hand, subs"",$9.85"
"Dodi,""Other specified disorders of synovium and tendon, knee"",$1.88"
Sheilah,Holiday relief care,$3.74
Delilah,Presence of right artificial hip joint,$9.81
"Laryssa,""Other psychoactive substance dependence, in remission"",$1.13"
"Tallie,""Unsp comp of anesthesia during pregnancy, first trimester"",$6.65"
"Norton,""Focal chorioretinal inflammation of posterior pole, unsp eye"",$7.10"
Charo,Other fall on same level,$6.83
"Ashlen,""Sltr-haris Type III physeal fx unspecified metatarsal, 7thG"",$3.49"
"Agathe,""Neoplasm of uncertain behavior of respiratory organ, unsp"",$3.57"
"Chev,""Acute ethmoidal sinusitis, unspecified"",$4.36"
"Jody,""Other fracture of right patella, sequela"",$10.00"
"Shel,""Toxic eff of organophos and carbamate insect, slf-hrm, subs"",$4.28"
"Emelia,""Lacerat unsp musc/fasc/tend at wrs/hnd lv, right hand, subs"",$4.33"
"Jack,""Subacute osteomyelitis, unspecified shoulder"",$6.48"
"Britta,""Poisoning by macrolides, undetermined, sequela"",$3.55"
Culley,Accidental pnctr & lac of a respiratory system org dur proc,$1.38
"Valene,""Burn of unsp degree of shldr/up lmb, except wrist and hand"",$7.64"
"Dorine,""Disp fx of coracoid process, unspecified shoulder, sequela"",$0.42"
Peter,Laceration without foreign body of unsp part of thorax,$3.19
"Chloris,""Twin pregnancy, monochorionic/diamniotic"",$0.79"
"Rhonda,""Nicotine dependence, cigarettes, with withdrawal"",$2.41"
"Berenice,""Superficial foreign body of right index finger, subs encntr"",$3.47"
Chane,Oth soft tissue disord related to use/pressure of unsp site,$8.95
"Fredrick,""Corrosion of unsp degree of unsp hand, unsp site, init"",$5.23"
Mirabella,Unsp car occupant injured in collision w ped/anml in traf,$3.18
Eulalie,Sprain of unspecified sternoclavicular joint,$9.20
"Heloise,""Unsp injury of muscle, fascia and tendon at neck level"",$0.25"
"Sela,""Nondisp fx of greater tuberosity of r humer, 7thP"",$9.00"
"Frederigo,""Nondisp artic fx head of unsp femr, init for opn fx type I/2"",$3.52"
"Lilia,""Sltr-haris Type I physl fx low end unsp femr, 7thP"",$7.90"
"Jamie,""Ped on rolr-skt injured in clsn w pedl cyc in traf, sequela"",$2.80"
"Aloysius,""Unsp injury of musc/fasc/tend at thi lev, unsp thigh, init"",$0.55"
"Matty,""Other bursitis of elbow, unspecified elbow"",$2.12"
Heath,Antiphospholipid syndrome,$1.91
Arlinda,Nonbullous erythema multiforme,$6.09
Sella,Congenital shortening of left upper limb,$3.37
"Modesty,""Collapsed vert, NEC, cervicothor rgn, 7thG"",$5.82"
Keir,Myocardial degeneration,$3.47
Dale,Puncture wound w foreign body of left cheek and TMJ area,$0.39
"Saudra,""Oth fracture of base of skull, subs for fx w nonunion"",$7.30"
Farrah,Strain of musc/tend anterior muscle group at lower leg level,$9.72
Dun,Drug/chem diabetes mellitus w hypoglycemia w coma,$8.36
"Rosette,""Displaced avulsion fracture of left ilium, init for opn fx"",$1.82"
"Starr,""Abrasion, right lower leg"",$7.27"
"Sam,""Severely displaced Zone III fracture of sacrum, init"",$5.22"
"Thane,""Peripheral corneal degeneration, right eye"",$9.10"
"Darice,""Displ Maisonneuve's fx l leg, subs for clos fx w routn heal"",$7.84"
"Amory,""Burn of unspecified degree of left thigh, initial encounter"",$8.55"
Kalindi,Malignant neoplasm of other connective and soft tissue,$0.03
Eldon,Unspecified subluxation of left patella,$8.37
"Sheffie,""Other specified crystal arthropathies, hand"",$4.26"
"Mersey,""Periprosth osteolys of internal prosth l knee jt, sequela"",$1.35"
Woodman,Displacement of internal fixation device of left femur,$4.53
"Lizzie,""Lacerat unsp musc/fasc/tend at forarm lv, right arm, subs"",$9.39"
Aubert,Drowning and submersion due to unsp watercraft sinking,$7.77
"Dian,""Asphyxiation due to hanging, assault, sequela"",$5.37"
Gifford,Ocular albinism,$5.73
Tess,Acute serous otitis media,$6.47
"Atalanta,""Displ oblique fx shaft of unsp ulna, 7thG"",$2.15"
"Livia,""Unsp injury of right internal jugular vein, subs encntr"",$2.61"
"Frederick,""Toxic effect of unsp inorganic substance, accidental"",$5.48"
"Johannah,""Poisoning by dental drugs, topically applied, acc, subs"",$3.18"
"Debby,""Toxic effect of unspecified spider venom, assault"",$4.73"
"Meyer,""Laceration with foreign body of vocal cord, sequela"",$1.68"
Kori,Bicondylar fracture of tibia,$9.18
"Engracia,""Inj muscle, fascia and tendon of triceps, right arm, init"",$8.53"
Edna,Other and unspecified superficial injuries of throat,$2.97
"Maxie,""Anorexia nervosa, binge eating/purging type"",$1.13"
Bobby,Pilonidal cyst and sinus with abscess,$3.75
"Janith,""Transient synovitis, left shoulder"",$7.28"
"Allene,""Blister (nonthermal) of left elbow, subsequent encounter"",$0.03"
"Tedie,""Nondisp fx of trapezium, left wrist, init for opn fx"",$8.33"
Margot,Malignant neoplasm of acoustic nerve,$9.94
"Berky,""Adverse effect of propionic acid derivatives, init encntr"",$0.65"
"Elizabeth,""Unsp intracranial injury w LOC of 6 hours to 24 hours, subs"",$4.42"
"Candy,""Abrasion, left great toe, subsequent encounter"",$6.14"
"Waneta,""Laceration of posterior tibial artery, left leg, subs encntr"",$4.92"
"Pammy,""Person outside pk-up/van inj in clsn w hv veh in traf, subs"",$1.11"
Dara,Congenital methemoglobinemia,$2.32
Eal,Other congenital malformations of musculoskeletal system,$1.31
"Karl,""Lacerat msl/tnd lng extn msl toe at ank/ft lev, l foot, subs"",$3.40"
Rollin,Post-transplant lymphoproliferative disorder (PTLD),$7.67
Astrix,Person on outside of military vehicle injured in traf,$6.65
Wilie,Other birth injuries to scalp,$0.46
"Theda,""Unsp injury of inferior mesenteric artery, init encntr"",$2.72"
Dorette,Unsp complication of skin graft (allograft) (autograft),$9.07
"Felice,""Decreased fetal movements, unspecified trimester, fetus 3"",$0.08"
Kin,Physeal fracture of upper end of tibia,$0.83
"Hi,""Disp fx of greater trochanter of unsp femr, 7thJ"",$7.32"
"Felice,""Lacerat unsp musc/tend at lower leg level, right leg, subs"",$9.67"
"Katie,""Nondisp fx of shaft of oth metacarpal bone, init for clos fx"",$9.81"
"Nikolaos,""Changes in retinal vascular appearance, bilateral"",$7.46"
"Catharina,""Acute maxillary sinusitis, unspecified"",$1.43"
"Carilyn,""Oth comp of spinal and epidur anesth during preg, first tri"",$8.38"
Curry,Dislocation of other parts of right shoulder girdle,$4.08
"Charlie,""Brown-Sequard synd at unsp level of thor spinal cord, sqla"",$6.77"
"Clo,""Subluxation of tarsal joint of unspecified foot, init encntr"",$1.29"
"Hort,""Partial traumatic MCP amputation of thmb, sequela"",$4.04"
"Tiffi,""Toxic effect of zinc and its compounds, assault, init encntr"",$6.08"
"Guillermo,""Sprain of unsp cruciate ligament of left knee, init encntr"",$9.05"
Amie,Occlusion and stenosis of unsp anterior cerebral artery,$0.39
"Gennifer,""Disp fx of olecran pro w intartic extn right ulna, sequela"",$8.20"
"Rochella,""Postural lordosis, lumbar region"",$1.76"
"Lane,""Corrosions of right ear drum, initial encounter"",$6.24"
"Reggis,""Partial traumatic amputation of right breast, init encntr"",$4.86"
"Bernete,""Other ossification of muscle, left ankle and foot"",$8.78"
"Wendel,""Diffuse folicl center lymph, nodes of head, face, and neck"",$6.17"
Fidelia,Unspecified injury of cervical spinal cord,$8.00
"Payton,""Unsp injury of musc/fasc/tend prt biceps, left arm"",$7.55"
"Rasia,""Chronic perichondritis of external ear, unspecified ear"",$2.46"
"Boot,""Juvenile myoclonic epilepsy, intractable, w stat epi"",$4.32"
Renie,Vestibular neuronitis,$6.38
"Adamo,""Abrasion, unspecified hip, sequela"",$2.19"
"Myrtie,""Insect bite (nonvenomous) of unspecified thumb, init encntr"",$5.23"
Gail,Proc/trtmt not crd out bec pt decision for oth reasons,$7.63
"Preston,""Attic perforation of tympanic membrane, unspecified ear"",$1.98"
"Oriana,""Matern care for or susp placntl insuff, third tri, fts3"",$0.71"
Kin,Idiopathic aseptic necrosis of unspecified carpus,$5.48
Fleming,Fracture of unspecified phalanx of left thumb,$4.44
Marion,Phlebitis and thrombophlebitis of right iliac vein,$4.83
Christen,Acute embolism and thrombosis of superior vena cava,$5.43
"Stepha,""Insect bite (nonvenomous) of left upper arm, init encntr"",$1.81"
"Spence,""Strain of unsp musc/fasc/tend at thi lev, left thigh, subs"",$5.26"
"Estele,""Sprain of calcaneofibular ligament of unsp ankle, subs"",$7.42"
Marlin,Spacecraft collision injuring occupant,$4.42
"Arch,""Adhes due to fb acc left in body fol oth procedure, sequela"",$7.47"
"Hyacinth,""Poisoning by methylphenidate, undetermined, subs encntr"",$8.39"
Katharina,Antepartum hemorrhage with afibrinogenemia,$3.54
"Luther,""Wedge compression fracture of T9-T10 vertebra, init"",$6.83"
"Ricki,""Toxic effect of zinc and its compounds, accidental, init"",$4.43"
"Konstance,""War op involving fragmt of improv explosv device, civilian"",$6.11"
"Tally,""Trp preg, unable to dtrm num plcnta & amnio sacs, third tri"",$9.48"
"Drusy,""Unsp superficial injury of right lower leg, subs encntr"",$9.67"
"Mervin,""Nondisp fx of greater trochanter of unsp femr, 7thD"",$6.37"
Kassi,Idio sleep related nonobstructive alveolar hypoventilation,$9.62
Brande,Unspecified superficial injury of left index finger,$8.16
"Duff,""Laceration w fb of unsp great toe w/o damage to nail, subs"",$3.40"
"Nappy,""Incarcerated fx of med epicondyl of l humer, 7thG"",$4.62"
"Alphonse,""Subluxation of interphaln joint of right great toe, sequela"",$3.35"
Wendie,Oth rheumatoid arthritis w rheumatoid factor of right wrist,$9.56
Adelind,Physeal fracture of phalanx of toe,$2.47
Alexi,Deformity of orbit,$0.31
"Nelson,""Pasngr in 3-whl mv inj in clsn w 2/3-whl mv nontraf, subs"",$6.85"
"Mathe,""Laceration of musc/fasc/tend at shldr/up arm, unsp arm, init"",$6.49"
"Mirilla,""Other superficial bite of right ear, subsequent encounter"",$5.56"
"Godiva,""Displ transverse fx shaft of l femr, 7thE"",$6.76"
"Sharleen,""Burn of first degree of chest wall, initial encounter"",$8.09"
"Jacenta,""Nondisp fx of lateral condyle of r femr, 7thN"",$1.03"
"Melodie,""Myopathy of extraocular muscles, left orbit"",$9.15"
"Joachim,""Other specified bursopathies, right wrist"",$2.28"
Krisha,Chediak-Higashi syndrome,$6.51
Corilla,Actinic reticuloid,$7.17
Davidson,Corrosion of second degree of unspecified ear,$2.28
"Sherwood,""Abrasion of unspecified forearm, sequela"",$9.30"
"Marice,""Poisoning by succinimides and oxazolidinediones, acc, subs"",$6.14"
"Mart,""Fx condylar process of mandible, unspecified side, init"",$1.14"
"Madelina,""Rupture of uterus before onset of labor, third trimester"",$4.67"
"Rosene,""Sltr-haris Type II physl fx low end ulna, unsp arm, 7thP"",$0.12"
Jonah,Tuberculous iridocyclitis,$6.34
"Marjie,""Occ of rail trn/veh injured by fall in rail trn/veh, sequela"",$4.76"
"Cleve,""Proteinuria, unspecified"",$2.31"
"Greg,""Unsp fx shaft of left radius, init for opn fx type 3A/B/C"",$2.95"
Lindie,Cognitive social or emo def following unsp cerebvasc disease,$3.99
"Nehemiah,""Exposure to welding light (arc), sequela"",$7.79"
"Dun,""Other embolism in pregnancy, first trimester"",$5.79"
Elena,Personal history of malignant neoplasm of testis,$8.41
"Lisabeth,""Nondisp fx of head of l rad, 7thE"",$1.12"
