name,desciption,prix
Gayle,Abnlt in fetal heart rate and rhythm comp labor and delivery,$2.96
"Farrand,""Low lying placenta NOS or without hemor, first trimester"",$4.62"
"Hazel,""Toxic effect of chromium and its compounds, undet, subs"",$1.57"
"Sandy,""Stress fracture, right hand"",$7.66"
Lewie,Other intraarticular fracture of lower end of unsp radius,$9.60
Holden,Osteomyelitis of orbit,$1.64
"Melonie,""Puncture wound without foreign body, left knee, subs encntr"",$1.22"
"Erek,""Lymphoid leukemia, unspecified not having achieved remission"",$9.63"
"Zollie,""Fall from sled, initial encounter"",$9.70"
"Nicolette,""Pasngr in 3-whl mv inj in clsn w rail trn/veh nontraf, init"",$8.54"
"Olivia,""Poisoning by oth psychotropic drugs, accidental, subs"",$7.49"
"Doria,""Nondisp longitud fx l patella, 7thR"",$2.57"
Imogene,Postural (urinary) incontinence,$2.46
Immanuel,Other specified mononeuropathies of right upper limb,$7.77
"Fanechka,""Displ commnt fx shaft of r femr, 7thG"",$3.62"
"Robena,""Unspecified cataclysmic storm, subsequent encounter"",$4.72"
"Yancey,""Corros 1st deg mult sites of shldr/up lmb, ex wrs/hnd, init"",$0.15"
"Druci,""Unsp mtrcy rider injured in clsn w unsp mv in traf, init"",$9.74"
"Herculie,""Occup of bus injured in collision w ped/anml in traf, init"",$8.51"
"Honey,""Corrosion of first degree of lower back, initial encounter"",$7.57"
"Estell,""Oth fracture of l low leg, subs for clos fx w routn heal"",$3.20"
Ody,Encounter for fitting and adjustment of artificial arm,$4.20
Belle,Rheumatoid myopathy w rheumatoid arthritis of right ank/ft,$7.93
"Fraze,""Injury of peroneal nerve at lower leg level, unsp leg, subs"",$4.66"
"Alfy,""Corrosion of first degree of right thigh, sequela"",$7.00"
"Osmond,""Immersion foot, unspecified foot, sequela"",$1.27"
"Arlen,""Burn due to (nonpowered) inflatable craft on fire, sequela"",$0.43"
"Candace,""Spacecraft crash injuring occupant, sequela"",$0.46"
Philis,Other obstetric injury to pelvic organs,$5.46
"Muhammad,""Person injured in clsn betw car and bus, nontraf, sequela"",$0.15"
"Valentijn,""Unspecified injury of unspecified foot, subsequent encounter"",$5.22"
"Tatum,""Separation of muscle (nontraumatic), other site"",$4.93"
"Bevan,""Osteoarthritis of first carpometacarpal joint, unspecified"",$6.32"
"Gwenneth,""Undrdose of pertussis vaccine, inc combin w pertuss, sequela"",$9.38"
"Alvan,""Presence of artificial arms, bilateral (complete) (partial)"",$7.82"
Doyle,Corrosion of second degree of unspecified thumb (nail),$8.25
"Viva,""Nondisp unsp condyle fx low end unsp femr, 7thK"",$5.30"
Celinda,Other disorders of cornea,$7.52
"Roseanna,""Strain intrns musc/fasc/tend r lit fngr at wrs/hnd lv, subs"",$0.01"
Ambrosi,Dislocation of C1/C2 cervical vertebrae,$0.92
"Claresta,""Other acute osteomyelitis, unspecified shoulder"",$6.63"
"Benn,""Military operations involving incendiary bullet, civilian"",$4.63"
"Merwin,""War operations involving oth conventional warfare, milt"",$4.14"
Dulsea,Nondisplaced bicondylar fracture of right tibia,$5.50
"Tina,""Laceration of head of pancreas, unspecified degree"",$6.81"
"Breena,""Small cell B-cell lymphoma, intrathoracic lymph nodes"",$8.90"
"Kirbee,""Nondisp suprcndl fx w intrcndl extn low end r femr, 7thC"",$9.14"
"Ashli,""Legal intervnt involving oth explosv, suspect injured, init"",$0.60"
Katuscha,Hemiplga fol unsp cerebvasc disease aff right nondom side,$9.63
"Isidro,""Pathological fracture, left finger(s)"",$7.47"
"Nellie,""Nondisp avuls fx (chip fracture) of right talus, sequela"",$9.76"
Ham,Activities w oth sports & athletics played as a team or grp,$6.13
"Farlay,""Dislocation of T5/T6 thoracic vertebra, sequela"",$6.23"
Isa,Acute dacryocystitis of unspecified lacrimal passage,$6.38
"Mag,""Partial traumatic amputation at knee level, l low leg, init"",$4.72"
"Jacobo,""Fx unsp part of neck of r femur, subs for clos fx w malunion"",$5.22"
"Carena,""Contracture, hand"",$3.13"
"Kordula,""Congenital occlusion of ureter, unspecified"",$9.48"
Yetta,Congenital absence of upper arm and forearm w hand present,$0.68
"Augy,""Age-rel osteopor w current path fx, unsp forearm, sequela"",$7.17"
Carrol,Vaginismus not due to a substance or known physiol condition,$5.44
Carroll,Encounter for attention to colostomy,$7.37
"Estele,""Crushing injury of unspecified wrist, subsequent encounter"",$0.46"
"Duke,""Strain of extensor musc/fasc/tend l thm at wrs/hnd lv, subs"",$8.81"
"Hakeem,""Corrosion of first degree of unsp shoulder, init encntr"",$8.54"
"Gladys,""Acute bronchitis, unspecified"",$3.53"
"Claresta,""Blister (nonthermal) of scrotum and testes, init encntr"",$6.47"
Eddy,Sprain of sacroiliac joint,$7.40
"Bron,""Nondisp fx of med condyle of l tibia, 7thJ"",$5.80"
"Gwen,""Poisoning by tricyclic antidepressants, self-harm"",$5.19"
"Odelia,""Corrosion of third degree of unspecified axilla, subs encntr"",$1.13"
"Leonard,""Pnctr w foreign body of right cheek and TMJ area, subs"",$8.66"
"Felice,""Corros 3rd deg mu right fngr (nail), not inc thumb, sequela"",$4.09"
"Byran,""Terrorism involving firearms, civilian injured, init encntr"",$1.95"
Joelle,Fracture of unspecified phalanx of left thumb,$9.23
"Galina,""Nondisp commnt fx shaft of r tibia, init for opn fx type I/2"",$1.20"
"Siusan,""Drown due to being washed overboard from sailboat, init"",$1.16"
Helen,Toxic effect of contact with sea anemone,$9.24
"Dame,""Maternal care for hydrops fetalis, first trimester, fetus 4"",$8.82"
"Winfred,""Sltr-haris Type II physeal fx lower end of r femur, sequela"",$2.45"
"Auberon,""Pneumonia due to oth infectious organisms, NEC"",$8.91"
"Emylee,""Puncture wound without foreign body, left hip, sequela"",$0.95"
Juliann,Sprain of coracohumeral (ligament),$4.86
"Dominic,""Poisoning by other psychodysleptics, intentional self-harm"",$7.92"
Felipa,Injury of radial nerve at forearm level,$1.84
Ludvig,Puncture wound without foreign body of left breast,$9.18
"Hershel,""Nondisp transverse fracture of shaft of right ulna, sequela"",$3.93"
"Sada,""Corrosion of second degree of left wrist, subs encntr"",$1.01"
"Niccolo,""Path fx in neopltc dis, unsp hand, subs for fx w nonunion"",$8.07"
"Jordan,""Familial chondrocalcinosis, hip"",$6.55"
"Hadria,""Displ subtrochnt fx l femr, 7thF"",$6.74"
"Elvin,""Ped on sktbrd inj pick-up truck, pk-up/van in traf, sequela"",$3.61"
"Marigold,""Activity, roller skating (inline) and skateboarding"",$9.44"
"Erina,""Other bursal cyst, left elbow"",$8.91"
"Camala,""Poisoning by oth drug/meds/biol subst, assault, subs"",$3.85"
"Nani,""Poisoning by vitamins, accidental (unintentional), subs"",$1.77"
"Arlen,""Other fracture of unspecified foot, 7thP"",$6.24"
"Dehlia,""Path fracture in neoplastic disease, right ankle, init"",$6.88"
"Dimitry,""Myositis ossificans traumatica, unspecified site"",$4.10"
"Rochella,""Corrosion of third degree of right elbow, sequela"",$8.74"
"Berkie,""Nondisp fx of olecran pro w intartic extn r ulna, 7thP"",$2.76"
"Brenda,""Other specified joint disorders, unspecified joint"",$7.28"
"Kerk,""War op involving fragments from munitions, milt, init"",$2.68"
"Camel,""Ped w convey injured in collision w hv veh nontraf, init"",$5.84"
"Gavan,""Dislocation of unsp interphaln joint of r mid finger, subs"",$9.19"
"Lynde,""Gastr contents in resp tract, part unsp cause asphyx, sqla"",$6.17"
"Addia,""Pnctr w foreign body of unsp finger w/o damage to nail, subs"",$2.34"
"Betteann,""Adverse effect of antacids and anti-gstrc-sec drugs, sequela"",$3.02"
Clem,Lymphoid interstitial pneumonia,$6.74
"Adelina,""Adverse effect of cardi-stim glycos/drug simlar act, subs"",$7.53"
Binnie,Displaced oblique fracture of shaft of unspecified radius,$3.00
"Dolly,""Poisoning by MAO inhib antidepressants, undetermined, subs"",$0.04"
"Ron,""Unspecified complication of procedure, sequela"",$6.67"
Philip,Fracture of neck of talus,$3.49
Kort,Mech compl of internal right hip prosthesis,$9.05
"Dorthy,""Subluxation of right scapula, subsequent encounter"",$6.15"
Hortensia,Corpus luteum cyst,$1.54
"Marna,""Matern care for oth or susp poor fetl grth, unsp tri, oth"",$3.10"
"Lem,""Nondisp fx of coronoid pro of l ulna, 7thB"",$4.16"
Farah,Mech compl of cardiac pulse generator (battery),$7.24
"Aylmer,""Open bite of r frnt wl of thorax w penet thor cavity, sqla"",$5.44"
"Desirae,""Toxic effect of lacrimogenic gas, undetermined, sequela"",$5.36"
"Isidoro,""Other cyst of bone, right ankle and foot"",$2.30"
"Cordie,""Other stimulant abuse with intoxication, uncomplicated"",$8.00"
Tibold,Elevated urine levels of drug/meds/biol subst,$7.65
"Jami,""Occ of anml-drn vehicle injured in clsn w pedl cyc, sequela"",$9.95"
"Anabal,""Mtrcy driver injured in clsn w nonmtr vehicle in traf, init"",$8.51"
"Rosemaria,""Contact with hay derrick, initial encounter"",$5.81"
"Demeter,""Sltr-haris Type I physl fx upper end radius, left arm, init"",$7.01"
"Lonnie,""Unsp fx shaft of r tibia, 7thN"",$1.59"
"Clemmie,""Pedl cyc driver inj pick-up truck, pk-up/van nontraf, subs"",$1.69"
"Jabez,""Sprain of interphalangeal joint of unsp great toe, init"",$8.26"
"Erma,""Juvenile arthritis, unspecified, unspecified hand"",$6.20"
"Bert,""Burn of first degree of back of unsp hand, init encntr"",$7.34"
"Brietta,""Disp fx of prox phalanx of finger, subs for fx w nonunion"",$4.39"
"Germain,""Toxic effect of contact w oth jellyfish, undetermined, init"",$0.78"
Perice,Maternal care for other abnormalities of cervix,$4.37
"Ashton,""Nondisp unsp condyle fx lower end of unsp femur, init"",$7.47"
Henrieta,Other disturbances of cerebral status of newborn,$1.27
Hammad,Oth unil secondary osteoarth of first carpometacarp joint,$0.34
"Theodor,""Other spondylosis, cervicothoracic region"",$6.74"
"Tibold,""Oth exposure to controlled fire, not in bldg, subs"",$4.76"
Dukie,Partial androgen insensitivity syndrome,$6.82
Bartholomeo,Subluxation of distal interphalangeal joint of right thumb,$0.04
"Sydel,""Pedl cyc driver injured in collision w oth mv nontraf, init"",$5.33"
"Abdel,""Disp fx of nk of 1st MC bone, unsp hand, 7thK"",$2.68"
"Linet,""Pathological fracture in other disease, right ankle, sequela"",$5.93"
"Ailbert,""Fx unsp phalanx of r idx fngr, subs for fx w delay heal"",$8.62"
"Humfried,""Nondisp oth fracture of tuberosity of r calcaneus, sequela"",$2.06"
"Garvin,""Abrasion, left thigh, sequela"",$5.68"
"Blancha,""Displaced dome fracture of right talus, init for clos fx"",$4.13"
"Wenda,""Exposure to X-rays, sequela"",$2.30"
Hadria,Fistula of gallbladder,$5.40
"Rafe,""Separation of muscle (nontraumatic), thigh"",$8.07"
"Antonin,""Puncture wound with foreign body, unspecified ankle"",$6.61"
Waldon,Other injury due to other accident on board merchant ship,$9.09
"Germaine,""Traumatic amp of part of thorax, except breast, subs"",$0.43"
"Thibaut,""Blister (nonthermal) of scalp, sequela"",$0.85"
"Raul,""Infection of nipple associated w pregnancy, first trimester"",$5.33"
Kathye,Harlequin fetus,$3.81
"Skell,""Nondisp fx of intermed cuneiform of r ft, 7thG"",$4.61"
"Jenica,""Poisoning by lysergide, accidental (unintentional), init"",$7.49"
"Caitlin,""Disp fx of distal phalanx of thmb, subs for fx w malunion"",$6.81"
"Jim,""Sextuplets, all liveborn"",$5.92"
"Gerri,""Corros third deg of shldr/up lmb, except wrs/hnd, unsp site"",$8.14"
"Herve,""Type 1 diab with diab mclr edema, resolved fol trtmt, unsp"",$8.50"
"Rhonda,""Other dislocation of unsp ulnohumeral joint, init encntr"",$3.54"
"Luce,""Burn second degree of single r finger except thumb, subs"",$1.12"
"Heath,""Poisoning by iminostilbenes, assault, initial encounter"",$2.46"
"Gard,""Placenta accreta, second trimester"",$6.33"
Abba,Burn of second degree of left forearm,$2.35
Catha,Abnormal histolog findings in specmn from dgstv org/abd cav,$5.12
Joannes,Traum hemor left cerebrum w LOC of unsp duration,$9.82
"Rudolfo,""Oth fx low end l femr, 7thJ"",$0.62"
"Maurine,""Complete traum amp at level betw unsp shldr and elbow, subs"",$1.78"
"Jewelle,""Displ seg fx shaft of unsp tibia, 7thE"",$7.55"
"Lockwood,""Unsp inj unsp blood vess at ank/ft level, right leg, sequela"",$4.64"
"Bobbi,""Implant cysts of iris, ciliary body or ant chamber, bi"",$4.94"
"Alwin,""Sltr-haris Type II physeal fx unspecified metatarsal, 7thP"",$1.29"
Toma,Chronic embolism and thrombosis of left femoral vein,$9.19
"Carleton,""Partial placenta previa NOS or without hemor, first tri"",$4.20"
"Roselle,""Sltr-haris Type II physl fx lower end humer, unsp arm, init"",$3.61"
"Jarrid,""Displaced unsp fracture of right great toe, init for clos fx"",$8.21"
"Sonja,""Disp fx of ant pro of l calcaneus, subs for fx w malunion"",$0.43"
"Shaylah,""Fall from moving wheelchair (powered), sequela"",$1.70"
Bennett,Strain of intrinsic musc/fasc/tend l idx fngr at wrs/hnd lv,$1.67
Rip,Adverse effect of ophthalmological drugs and preparations,$9.40
"Enos,""Oth fx upr end r ulna, 7thR"",$7.35"
"Julieta,""Path fx in oth disease, r foot, subs for fx w routn heal"",$5.60"
Faina,Nondisplaced comminuted fracture of shaft of unsp tibia,$5.03
"Jocelyne,""Torus fracture of upper end of unspecified humerus, sequela"",$8.27"
"Theo,""Other specified injuries of left lower leg, sequela"",$8.41"
Hank,Chronic drug-induced interstitial lung disorders,$5.31
Kendre,Strain of long flexor musc/fasc/tend r thm at wrs/hnd lv,$6.53
Nicole,Displacement of muscle and tendon graft,$0.48
"Stace,""Oth fracture of unsp patella, subs for clos fx w nonunion"",$7.05"
"Aleta,""Oth injuries of left shoulder and upper arm, sequela"",$5.27"
"Dewie,""Disp fx of greater trochanter of right femur, sequela"",$9.97"
"Mariya,""Osteonecrosis in diseases classd elswhr, ankle and foot"",$7.44"
Caesar,Clubbing of fingers,$6.04
"Ber,""Sltr-haris Type III physl fx low end rad, unsp arm, 7thP"",$1.29"
"Grayce,""Nondisp oblique fx shaft of r tibia, 7thF"",$4.73"
"Ree,""Acute myeloid leukemia w multilin dysplasia, in remission"",$7.48"
Rosetta,Sltr-haris Type III physeal fx lower end of left femur,$9.64
"Marget,""Disp fx of unsp radial styloid pro, 7thK"",$5.00"
Fons,Dislocation of jaw,$0.22
"Warden,""Disloc of unsp interphaln joint of r little finger, subs"",$3.24"
"Aliza,""Drug-induced chronic gout, left ankle and foot, w/o tophus"",$6.09"
"Ortensia,""Fatigue fracture of vertebra, cervical region, init for fx"",$9.32"
"Fredek,""Unsp open wound of l little finger w damage to nail, sequela"",$9.45"
"Teador,""Toxic effect of carbon monoxide from utility gas, assault"",$8.88"
"Parsifal,""Bicipital tendinitis, unspecified shoulder"",$5.65"
"Berrie,""Adverse effect of methylphenidate, subsequent encounter"",$4.53"
Dionne,Olecranon bursitis,$7.26
"Stephanus,""Puncture wound w/o foreign body of right elbow, subs encntr"",$7.47"
"Guido,""Unspecified dislocation of right wrist and hand, subs encntr"",$9.53"
Collin,Bandemia,$5.44
"Korrie,""Myositis, unspecified"",$0.27"
"Eleni,""Unspecified open-angle glaucoma, moderate stage"",$7.48"
"Bernelle,""Acute myringitis, unspecified ear"",$7.27"
Mitchel,Basal cell carcinoma of skin of lip,$2.37
"Berni,""Nondisp spiral fx shaft of r tibia, 7thJ"",$2.54"
"Letti,""Osteochondritis dissecans, r ankle and joints of right foot"",$0.19"
Jacintha,Nondisplaced fracture of medial phalanx of left ring finger,$1.84
"Louis,""Injury of other nerves at hip and thigh level, right leg"",$7.16"
Moria,Athscl nonbiol bypass of the right leg w ulceration of thigh,$4.30
"Ellwood,""Other specified item causing external constriction, sequela"",$0.04"
"Daune,""Salter-Harris Type I physeal fracture of r calcaneus, 7thP"",$1.07"
Germana,Other paraphilias,$6.22
"Ikey,""Nondisp fx of lateral malleolus of l fibula, 7thM"",$4.45"
"Arlena,""Ped on foot injured in collision w hv veh in traf, sequela"",$3.31"
"Thekla,""Fall from skateboard, subsequent encounter"",$4.45"
"Lionel,""Acute tonsillitis, unspecified"",$2.64"
"Maggie,""Other cyst of bone, unspecified thigh"",$9.27"
"Ina,""Displ avuls fx (chip fracture) of l talus, 7thP"",$7.20"
"Horst,""Poisoning by other viral vaccines, assault, sequela"",$9.18"
Dorice,Sedatv/hyp/anxiolytc depend w psychotic disorder w delusions,$7.24
"Elicia,""Displ longitud fx l patella, 7thF"",$6.83"
"Kellen,""Legal intervnt w unsp firearm disch, bystand injured, init"",$4.87"
Herculie,War operations involving explosion of depth-charge,$3.76
"Far,""Corros unsp deg mult sites of right lower limb, ex ank/ft"",$6.44"
"Renado,""Poisoning by inhaled anesthetics, undetermined"",$3.98"
"Devonna,""Spondylolysis, thoracic region"",$8.20"
"Felice,""Toxic effect of contact w unsp venomous animal, acc, init"",$2.38"
"Sophie,""Occupant of streetcar injured in unsp traffic accident, init"",$6.24"
"Darrel,""Toxic effect of gases, fumes and vapors, accidental, subs"",$0.28"
Nikolaus,Unsp school as the place of occurrence of the external cause,$5.23
Elbertina,Laceration of flexor musc/fasc/tend at forearm level,$0.53
Jolee,Person injured in collision between car and bus (traffic),$6.74
"Drucill,""Type II occipital condyle fracture, left side, 7thD"",$7.99"
"Alfy,""Nondisp associated transv/post fx left acetabulum, init"",$8.63"
"Andonis,""Oth injury of unsp blood vessel at lower leg level, unsp leg"",$2.56"
"Barton,""Other streptococcal arthritis, hand"",$0.36"
"Flemming,""Hypertrophy of bone, femur"",$6.33"
"Abigael,""Unsp inj msl/tnd lng flxr msl toe at ank/ft level, unsp foot"",$0.23"
"Ricard,""Complete traumatic amputation of shldr/up arm, level unsp"",$8.67"
"George,""Fracture of subcondylar process of left mandible, 7thG"",$0.56"
Mathilda,Malig neoplm of ovrlp sites of bone/artic cartl of left limb,$8.52
"Yetty,""Keratoconjunct sicca, not specified as Sjogren's, left eye"",$9.76"
"Uri,""Other instability, right foot"",$7.12"
"Shem,""Laceration w fb of abd wall, epigst rgn w penet perit cav"",$0.32"
"Miranda,""Local infection due to central venous catheter, sequela"",$8.04"
"Marigold,""Partial traumatic amputation of left midfoot, subs encntr"",$5.69"
Tina,Other superficial bite of fingers,$2.05
"Debbi,""Fracture of unsp part of scapula, unsp shoulder, sequela"",$8.00"
"Vernice,""Nondisp fx of prox phalanx of l less toe(s), 7thD"",$9.28"
Sherman,Septic pulmonary embolism with acute cor pulmonale,$5.31
"Lucina,""Keratoconus, unstable, right eye"",$6.94"
"Ravi,""Superficial frostbite of right finger(s), sequela"",$7.08"
"Abbey,""Oth extrartic fx low end r rad, 7thF"",$4.03"
"Verla,""Subluxation of T3/T4 thoracic vertebra, subsequent encounter"",$0.63"
"Madel,""Nondisp dome fracture of left talus, subs for fx w nonunion"",$2.16"
"Celesta,""Unspecified superficial injury of right forearm, init encntr"",$6.02"
"Marjy,""Displ spiral fx shaft of rad, l arm, 7thB"",$0.76"
"Rickard,""Complete transverse atyp femoral fracture, right leg, 7thK"",$8.58"
Oberon,Abrasion of left forearm,$7.12
Andie,Juvenile dermatopolymyositis with myopathy,$4.25
"Bond,""Sprain of interphalangeal joint of left lesser toe(s), init"",$6.71"
"Elisabeth,""Reiter's disease, ankle and foot"",$4.06"
"Stafani,""Unsp superficial injury of unspecified thigh, subs encntr"",$6.17"
"Nikolaus,""Labor and delivery comp by cord around neck, w/o compression"",$0.73"
"Fritz,""Inj unsp blood vessel at shldr/up arm, unsp arm, init"",$0.97"
"Marianne,""Anaphylactic reaction due to other serum, sequela"",$8.35"
"Christian,""Rheumatoid arthritis without rheumatoid factor, left hand"",$9.54"
"Joellen,""Unsp comp of cardiac and vascular prosth dev/grft, sequela"",$1.85"
Madelle,Other sprain of other finger,$4.33
"Minetta,""Nondisp fx of hook pro of hamate bone, l wrs, 7thD"",$9.74"
Reinhard,4-Aminophenol derivatives,$7.26
"Aida,""Fuchs' heterochromic cyclitis, bilateral"",$7.52"
"Eydie,""Ant disp fx of sternal end unsp clavicle, 7thK"",$8.31"
"Darb,""Corrosion of second degree of left toe(s) (nail), init"",$2.38"
"Lemmy,""Underdosing of antiparkns drug/centr musc-tone depr, sequela"",$8.63"
"Kellia,""Disp fx of lateral malleolus of l fibula, 7thM"",$8.31"
"Eloise,""Lacerat musc/tend ant grp at low leg level, unsp leg, subs"",$3.93"
"Rivkah,""Unsp injury at T7-T10 level of thoracic spinal cord, sequela"",$9.14"
"Ashil,""Pasngr in 3-whl mv inj in clsn w rail trn/veh in traf, subs"",$9.94"
"Karalynn,""Unstable burst fx T9-T10 vertebra, subs for fx w delay heal"",$8.27"
Shay,Blood donor,$7.22
Misty,Nephroptosis,$6.64
"Noelani,""Asphyx due to being trapped in a car trunk, accidental, subs"",$3.67"
Vale,Oth foreign object in oth prt resp tract causing asphyx,$1.84
"Raphaela,""Oth deforming dorsopathies, sacral and sacrococcygeal region"",$0.19"
Fanechka,Subluxation of distal end of left ulna,$5.05
Bartholomew,Open bite of back wall of thorax w penet thoracic cavity,$7.56
"Goddart,""Disp fx of shaft of first metacarpal bone, left hand"",$9.69"
Mylo,Unspecified physeal fracture of lower end of left tibia,$3.56
"Catherina,""Underdosing of other psychodysleptics, initial encounter"",$8.24"
"Katlin,""Diseases of the nervous sys comp pregnancy, third trimester"",$0.70"
Nerissa,Lambert-Eaton syndrome in neoplastic disease,$2.07
"Langston,""Oth foreign object in bronchus causing other injury, sequela"",$4.60"
"Garrik,""Carcinoma in situ of respiratory system, unspecified"",$8.88"
Loni,Scarring of conjunctiva,$4.96
Teodoor,Malig neoplasm of tonsillar pillar (anterior) (posterior),$5.94
Ruthann,Craniofacial dysostosis,$4.52
Pieter,Cocaine dependence with cocaine-induced psychotic disorder,$7.51
Pail,Congenital torsion of penis,$7.02
"Kare,""Poisoning by other antidepressants, undetermined"",$0.01"
Pryce,Ice skating rink (indoor) (outdoor) as place,$5.87
Layton,Chronic embolism and thrombosis of deep veins of low extrm,$4.29
Nichols,Corrosion of first degree of lower back,$3.29
"Cammy,""Unspecified disorder of synovium and tendon, right forearm"",$5.51"
"Kasey,""Corrosion of unspecified degree of right ankle, init encntr"",$1.45"
"Skip,""Partial traumatic amputation of penis, sequela"",$2.53"
"Ebeneser,""Mech compl of unsp internal joint prosthesis, subs encntr"",$4.96"
"Tallie,""Abnormal blood-pressure reading, without diagnosis"",$1.97"
"Cristal,""Glaucoma secondary to eye inflam, bilateral, severe stage"",$7.95"
"Thalia,""Disp fx of base of 2nd MC bone, r hand, 7thD"",$0.70"
"Si,""Unsp fracture of left patella, subs for clos fx w routn heal"",$2.04"
"Tim,""Subluxation of interphaln joint of left lesser toe(s), init"",$2.64"
"Constantia,""Terrorism w oth explosn and fragmt, terrorist injured, init"",$9.92"
Penn,Krabbe disease,$6.66
Katya,Congenital myopathies,$8.42
Georgianna,Partial traumatic amputation at level between knee and ankle,$2.27
"Vanny,""Asphyxiation due to cave-in or falling earth, sequela"",$3.52"
